Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
redrum,american dream,21 Savage,1/12/2024,87,164.8,428233003,57311,144298748,,105148629,1762297,87200,6732800,43993800,977638660,74,102457,60,16802867,11821,,2490071
Easy On Me,Easy On Me,Adele,10/14/2021,88,163.2,1720918065,209635,93875458,73,1194846205,13561925,1912194,733101955,7860224413,6353555150,325,774277,100,203324731,126594,,7569155
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,89,163.1,1514239759,190692,77283361,77,1366181141,9358441,1769068,475656543,5249863696,488048337,150,145640,108,69095169,81914,,5133847
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,90,162,333202114,108322,41018697,68,203487345,2084532,928132,63253779,748253884,735908540,148,346411,60,90114807,46789,16620102,4207535
Anti-Hero,Midnights,Taylor Swift,10/21/2022,91,161.8,1563224246,117005,97456780,80,203259285,3482508,1302967,376660493,3864505972,724976542,261,1034319,150,92338994,45974,,4703179
"Quevedo: Bzrp Music Sessions, Vol. 52Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,92,161.7,1692951462,209490,88591675,78,1132539234,8795731,1212100,196608777,2054826154,56677146,99,138254,65,18052815,5213,4099686,6836893
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,93,161,255076355,11500,90584540,86,202206901,2596912,,57656713,506476590,273521596,67,4716,44,220481,1207,556784,659825
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,94,158.2,275349653,37806,22826643,70,347506860,1553295,4349700,321239621,4767676439,2676837761,19,23875,29,5101044,5276,,1245874
La Diabla,La Diabla - Single,Xavi,12/2/2023,95,155.9,649404552,27544,47789063,83,433839212,2750086,,414833,10603563,1795939912,29,16287,26,22603598,29401,,1380069
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,96,153.6,851085705,129047,50996176,70,211810152,2461166,3502547,955272568,8781020473,806434641,162,223173,130,10207007,36847,13896129,2580691
Snooze,SOS,SZA,12/9/2022,97,153.3,1013350808,108036,86470319,84,390677417,2521214,402338,97819766,887803828,560893301,154,559589,61,74611167,85113,17702595,3129609
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,98,153.1,359803580,26065,79152427,86,369321334,1839225,720800,74164945,874056250,4123457278,40,16952,51,20058510,7289,,1002835
Agora Hills,Scarlet,Doja Cat,9/22/2023,99,152.8,509653100,66219,67521533,,48045203,986278,328562,88846508,544437406,1561456615,80,400206,39,23110274,19559,,4295361
